" ticket_id"," title"," totalcomments"," created"
"1-177","Improve gitmodules file parsing",0,"2013-10-15 05:54:52"
"1-176","2.0 Support?",0,"2013-09-17 16:36:08"
"1-175","replace rake/rdoctask with rdoc/task",1,"2013-08-26 12:02:07"
"1-174","License missing from gemspec",0,"2013-08-13 14:34:40"
"1-173","No method error in loop.rb",1,"2013-08-08 04:01:21"
"1-172","Load repo upwards in specified path",0,"2013-07-11 15:11:18"
"1-171","Grit clone using ssh agent",0,"2013-07-03 23:02:55"
"1-169","Fix two bugs",0,"2013-06-27 07:25:37"
"1-168","Pass options to Grit::Repo#remote_fetch",0,"2013-06-13 05:06:28"
"1-166","Exception raised when checking out a specific commit",1,"2013-04-18 02:01:50"
"1-165","Fix Tempfile args in Ruby 1.9 to use binary enc",0,"2013-04-13 21:13:42"
"1-164","Implemented #163: grep search feature",3,"2013-04-08 01:51:38"
"1-162","Use --work-tree in 'native' git method",1,"2013-04-02 11:59:05"
"1-161","Modified to use UTF-8 encoding. (Works with Ruby 2.0)",2,"2013-03-19 17:43:49"
"1-160","Make tests pass in Ruby 2.0.",1,"2013-03-14 23:56:20"
"1-159","Fix deprecation error and warning in test suite",0,"2013-03-14 20:51:15"
"1-158","Index - remove empty directories",1,"2013-02-23 19:45:29"
"1-156","Issue 117: Fixed wrong magic comparition.",0,"2013-02-13 06:59:44"
"1-155","Ruby 2.0 compatibility fix",1,"2013-02-12 12:13:59"
"1-153","commit_index and commits_since don't seem te work well together. Intermitting problem ",0,"2013-01-18 21:47:56"
"1-152","Support Ruby >= 2.0 not only 1.9",1,"2013-01-16 03:40:51"
"1-150","If there is non-ascii chars in the filename, diff parse failed.",0,"2012-12-29 01:13:51"
"1-148","Grit doesn't correctly identify renames",0,"2012-11-07 21:35:37"
"1-147","Fix git executable search on windows (improved).",1,"2012-10-23 10:45:21"
"1-146","Minor change, added method to Status class",0,"2012-10-17 10:59:23"
"1-145","Make refs support submodules",4,"2012-10-07 22:29:41"
"1-144","use git-mktag for Grit::Tag.create_tag_object",1,"2012-10-03 19:40:04"
"1-142","Differentiate between Modified files and Unstaged changes",1,"2012-09-17 01:04:27"
"1-141","NoMethodError when dealing with a GPG signed commit",0,"2012-09-07 06:42:16"
"1-139","Grit crashes when dealing with files that have accented characters in them",1,"2012-09-02 05:43:16"
"1-138","Commit timestamps retain timezone info in Ruby 1.9.",2,"2012-08-23 11:51:11"
"1-137","exclude git directories from git_binary function",0,"2012-08-20 14:11:05"
"1-136","Incorrect array access fix",0,"2012-08-16 01:35:33"
"1-135","change to the correct way of init a bare repo",0,"2012-08-07 06:13:51"
"1-134","Handle encoding header of Git commits when possible.",3,"2012-08-02 13:55:22"
"1-133","Grit::Repo#commits_since incorrectly lists all commits",1,"2012-07-16 20:36:24"
"1-132","Files are deleted after commit",1,"2012-07-10 09:45:37"
"1-131","Is it alive?",1,"2012-07-06 19:41:58"
"1-130","strip newlines from tree entry names",0,"2012-07-03 20:30:21"
"1-124","Parse log with options",0,"2012-06-29 19:10:28"
"1-122","Is there any plans to rewrite grit with rugged?",0,"2012-06-20 14:49:22"
"1-121","More efficient counting of tags/remotes/heads ",0,"2012-06-03 00:57:01"
"1-120","Feature/workdir",0,"2012-05-24 09:13:56"
"1-119","Feature/basename",0,"2012-05-24 09:10:58"
"1-118","Hooks",0,"2012-05-23 17:06:33"
"1-117","Grit::GitRuby::Internal::PackFormatError",7,"2012-05-21 06:17:40"
"1-116","Added UTF-8 to filenames",3,"2012-05-15 09:25:34"
"1-115","Travis",3,"2012-05-05 20:02:47"
"1-114","Repo.git.refs should support separate .git directories",1,"2012-05-05 19:32:44"
"1-113","Add Gemfile",0,"2012-05-05 19:06:14"
"1-112","Grit::Actor#== method for testing equality.",0,"2012-05-01 03:08:12"
"1-109","rev_list broken with utf-8 commit message (Encoding::CompatibilityError)",1,"2012-04-20 18:40:17"
"1-108","Make Grit::Status ignore submodule-contained files",0,"2012-03-27 08:30:03"
"1-107","Bump version and release on Rubygems?",2,"2012-03-14 02:00:42"
"1-104","Make grit compatible with git projects using the gitfile repository format",0,"2012-02-07 12:31:35"
"1-102","Add Grit::Repo::remote method",1,"2011-12-03 13:10:08"
"1-101","Whitespaces in filenames lead to truncated names in commit stats",0,"2011-11-22 16:25:32"
"1-100","Fixed Grit::Repo#diff to show diff for commits to unicode file names",0,"2011-11-13 05:43:06"
"1-99","added correct location detection for win32 git binary",0,"2011-10-20 12:40:57"
"1-98","StatusFile::ignored",0,"2011-10-15 06:51:57"
"1-96","Commit stats for Ruby libraries does not work (Rails app does)",0," 2013-10-15 05:54:52"
"1-95","Faster tree parsing",3,"2013-10-15 05:54:52"
"1-94","Ability to specify line range for git blame",1,"2013-09-17 16:36:08"
"1-93","Exception: undefined method `close' for nil:NilClass",0,"2013-08-26 12:02:07"
"1-91","remote_list doesn't show newly created remotes",1,"2013-08-13 14:34:40"
"1-90","Allow numeric option arguments",2,"2013-08-08 04:01:21"
"1-88","test failures",0,"2013-07-11 15:11:18"
"1-87","tags method does not return but burns CPU",6,"2013-07-03 23:02:55"
"1-86","Fixing numstat parsing for cases where files have spaces in their filepath",1,"2013-06-27 07:25:37"
"1-85","Use native cat-file instead of Grit::GitRuby#cat_file to get blob size",1,"2013-06-13 05:06:28"
"1-84","Fix two ifs",2,"2013-04-18 02:01:50"
"1-83","Fixed Grit::Git#options_to_argv generates invalid sequence of arguments.",0,"2013-04-13 21:13:42"
"1-82","Fixing a typo, :base should be :bare",0,"2013-04-08 01:51:38"
"1-81","Fix Repository#rev_list silently ignoring :since and :until when they're of a class other than Time",1,"2013-04-02 11:59:05"
"1-80","Fix Repository#rev_list when called with :until",1,"2013-03-19 17:43:49"
"1-79","Better count",1,"2013-03-14 23:56:20"
"1-76","Warning about ""spawn"" method redefinition",3,"2013-03-14 20:51:15"
"1-75","Fix git executable search on windows.",4,"2013-02-23 19:45:29"
"1-70","Fixed commits_since method",1,"2013-02-13 06:59:44"
"1-67","Stack Level Too Deep in unpack_compressed",11,"2013-02-12 12:13:59"
"1-66","git config --get-all not supported",0,"2013-01-18 21:47:56"
"1-63","unable to unpack files stored with pack.window 0",0,"2013-01-16 03:40:51"
"1-57","Error when trying to get commits in the empty repo",1,"2012-12-29 01:13:51"
"1-56","git.rev_list is incorrect for tags",2,"2012-11-07 21:35:37"
"1-55","Support git hooks",7,"2012-10-23 10:45:21"
"1-54","Index#write_tree won't remove directories",4,"2012-10-17 10:59:23"
"1-53","Avoid spurious changes in diff-* commands",0,"2012-10-07 22:29:41"
"1-52","Memoize index",3,"2012-10-03 19:40:04"
"1-47","NoSuchPathError when cloning remote repo via ssh. Cloning remote also seems a little difficult.",1,"2012-09-17 01:04:27"
"1-45","Make Repo#diff return valid blobs",2,"2012-09-07 06:42:16"
"1-43","Use appropriate working tree in git commands",3,"2012-09-02 05:43:16"
"1-41","grit.commits_since... SystemStackError: stack level too deep",9,"2012-08-23 11:51:11"
"1-39","Improved repository check in Repo#initialize",0,"2012-08-20 14:11:05"
"1-38","Grit::GitRuby::Repository.rev_list can produce results in the wrong order (parent before child)",6,"2012-08-16 01:35:33"
"1-34","test_tag.rb 's ordering of tags disagrees with git(1).",4,"2012-08-07 06:13:51"
"1-33","Include Rakefile and tests in gem",2,"2012-08-02 13:55:22"
"1-32","Hunks",6,"2012-07-16 20:36:24"
"1-31","Git pull and reset",5,"2012-07-10 09:45:37"
"1-30","Repo.commit deletes objects that don't exist on the FS",1,"2012-07-06 19:41:58"
"1-28","How can I get remote repository with grit?",2,"2012-07-03 20:30:21"
"1-27","Invalid tar file on windows",4,"2012-06-29 19:10:28"
"1-24","1.9 Encoding Issue",9,"2012-06-20 14:49:22"
"1-21","Make remote/HEAD resolve to a commit id",0,"2012-06-03 00:57:01"
"1-19","Tree#to_s to give sha1?",0,"2012-05-24 09:13:56"
"1-18","Difficult to get tree sha1 from repo/head",2,"2012-05-24 09:10:58"
"1-17","init_bare ignores errors from git-init",1,"2012-05-23 17:06:33"
"1-16","r.head.commit is 'HEAD' in empty repo",0,"2012-05-21 06:17:40"
"1-15","update_ref is not atomic",0,"2012-05-15 09:25:34"
"1-14",".git/description missing on server",1,"2012-05-05 20:02:47"
"1-12","I get nil for blob.name when fetched directly from the Repo",3,"2012-05-05 19:32:44"
"1-10","Grit::Git#sh has problem with stdout.read on Passenger",5,"2012-05-05 19:06:14"
"1-4","win32 popen3",1,"2012-05-01 03:08:12"
"1-3","Need to set --work-tree",8,"2012-04-20 18:40:17"
"1-2","Should throw errors",4,"2012-03-27 08:30:03"
"27-2780","Missing rubysl-tracer as default gem",1,"2012-03-14 02:00:42"
"27-2779","Make configure --llvm-path check llvm version",0,"2012-02-07 12:31:35"
"27-2778","Process.spawn with non-existing command should set $? accordingly.",0,"2011-12-03 13:10:08"
"27-2776","crash report - Thread deadlock in ::lock()!",8,"2011-11-22 16:25:32"
"27-2775","crash during execution",0,"2011-11-13 05:43:06"
"27-2772","IO#read without args on a socket should return ASCII-8BIT string",0,"2011-10-20 12:40:57"
"27-2771","rb_io_get_io missing from C-API",0,"2011-10-15 06:51:57"
"27-2765","Omniauth undefined method `encoding' on nil:NilClass.",19,"2011-10-08 08:18:59"
"27-2764","Unable to unpack bootstrap gems during configure",3,"2011-09-26 20:56:30"
"27-2758","getsockopt with symbol level,optname fails",0,"2011-09-15 17:08:30"
"27-2756","still missing some socket constants",0,"2011-09-14 16:03:30"
"27-2754","FD_CLOEXEC should be default for Ruby 2.0 compatibility",0,"2011-08-29 07:05:18"
"27-2746","BigDecimal is too slow (need benchmark)",2,"2011-08-24 16:39:10"
"27-2740"," Too many open files - creating pipe (Errno::EMFILE)",7,"2011-08-16 10:08:13"
"27-2737","Some failures when running the mspecs on OpenBSD",9,"2011-08-15 12:43:38"
"27-2734","Rubinius build options override those provided to gem installs",1,"2011-08-14 00:32:31"
"27-2732","Unable to rbx -S gem install bundler with rubinius 2.1.1 on OpenBSD",11,"2011-08-05 01:13:04"
"27-2730","RSpec / Rails: Slow startup/run times.",18,"2011-08-02 06:06:59"
"27-2711","Global variables with local scope",4,"2011-07-20 08:36:34"
"27-2710","JSON.dump performance issue",2,"2011-07-19 14:47:54"
"27-2708","crash report",2,"2011-07-13 02:04:33"
"27-2692","Abort on running a threaded task",2,"2011-07-12 08:39:33"
"27-2691","Installing rubinius 2.x.x fails",13,"2011-07-07 01:48:19"
"27-2685","IO#ensure_open_and_writable might not check writability correctly",1,"2011-06-21 07:40:20"
"27-2682","Rails server raises exception",3,"2011-06-16 03:56:13"
"27-2679","Crash when firing up Rails app",6,"2011-06-02 02:34:28"
"27-2678","Problem destructuring block arguments with unused (_) variables",0,"2011-05-26 17:06:30"
"27-2674","Crash when using Pry in highly concurrent environment",2,"2011-05-06 13:59:12"
"27-2673","Crash when very quickly creating 300+ threads",2,"2011-04-13 19:10:45"
"27-2669","keyword arguments",17,"2011-03-20 18:12:27"
"27-2666","Encoding related spec failures in Debian chroot",2,"2011-02-25 08:16:19"
"27-2662","mysql2 related crashes when running specs",7,"2011-02-10 02:10:48"
"27-2661","UDP sockets fail when sending multiple packets to non-listening port",1,"2011-02-01 11:50:57"
"27-2641","Intern array literals (%i[a b c]) are not implemented",3,"2011-01-27 20:54:07"
"27-2629","Add rb_class_real per #2358",6,"2011-01-26 18:40:02"
"27-2628","Possible Mutex bug",1,"2010-12-10 20:21:15"
"27-2627","no such file to load -- rubygems/path_support (LoadError)",5,"2010-11-28 20:18:54"
"27-2621","crash report",2,"2010-11-15 16:36:25"
"27-2604","LANG unset",8,"2010-11-04 06:38:41"
"27-2603","assignment-in-if statement inconsistency",6,"2010-10-30 10:28:36"
"27-2600","TopLevel and Object.const_set should automatically set Module#name of anonymous modules",6,"2010-10-19 02:52:02"
"27-2598","avdi/naught test suite failing from Module#const_set",2,"2010-10-12 03:58:43"
"27-2596","Proc#block inconsistency",6,"2010-10-12 02:59:32"
"27-2595","Lambda literal syntax with arguments and whitespace",3,"2010-10-11 04:28:16"
"27-2574","do-block argument parsing inconsistency",1,"2010-09-13 09:34:48"
"27-2522","String delete/tr slowish compared to MRI",2,"2010-09-04 23:13:22"
"27-2507","getaddrinfo causing crash under sidekiq",2,"2010-08-31 05:26:01"
"27-2504","Deployable engine version doesn't match local version, can't bundle",28,"2010-08-25 13:39:29"
"27-2478","Dir['**/**/**'] raises ""Coercion error: nil.to_str => String failed",0,"2010-08-14 07:59:00"
"27-2471","JIT problem",3,"2010-04-27 15:43:24"
"27-2462","Nokogiri test suite crashes",3,"2010-03-22 12:32:02"
"27-2442","Strange transient failures with Racc",2,"2010-03-22 12:30:53"
"27-2438","Faster Primality Testing and Factorization Methods for Ruby",6,"2010-03-22 12:22:48"
"27-2390","Make ObjectSpace.each_object(Class|Module) faster",0,"2010-03-22 12:18:42"
"27-2380","Strip omit-frame-pointer flag",4,"2010-03-22 12:14:07"
"27-2379","Running rake a second time the same failure should show up",5,"2010-02-14 17:59:54"
"27-2362","sendmesg (blocking) of class BasicSocket crashes the thread of the thread pool",1,"2010-02-10 15:53:46"
"27-2358","rb_class_real() missing from C API",4,"2010-01-05 18:35:07"
"27-2335","Strange typing behaviour using -n option",2,"2009-07-21 04:05:04"
"27-2331","Building Melbourne for Rubinius, fails on armv7l",11,"2009-06-14 14:10:16"
"27-2327","Bunny master tests fail on Rubinius",14,"2009-06-14 12:53:00"
"27-2303","Issue with failing DNS lookups",3,"2013-11-13 00:29:42"
"27-2290","Different behavior for UnboundMethod than in MRI 1.9",6,"2013-11-12 22:37:27"
"27-2243","[rails] (ArgumentError) ""comparison of #<Enumerable::SortedElement:0xcf8ec..failed (6)",2,"2013-11-11 16:36:10"
"27-2241","Date._parse has different arity than 1.9.3",2,"2013-11-10 12:23:01"
"27-2219","Benchmarking bm_loop_whileloop.rb failed on i386 with Error::EDOM",1,"2013-11-10 12:07:10"
"27-2200","Support accessing Fiber-locals and backtraces for a Fiber",12,"2013-11-09 19:57:15"
"27-2182","Hover state on long titles on blog looks busted",0,"2013-11-09 19:51:55"
"27-2166","IO performance",7,"2013-11-05 06:21:04"
"27-2155","FFI-Inline gem fails rspec",0,"2013-11-03 13:59:06"
"27-2123","Cannot attach LLVM via FFI",0,"2013-10-31 22:52:43"
"27-2121","Ensure the tests for these FFI projects pass on Rubinius",11,"2013-10-31 22:12:59"
"27-2102","Crash after Guard test run",13,"2013-10-31 22:03:45"
"27-2087","Possible Regexp issue with Oniguruma in 1.8 language mode",1,"2013-10-29 02:21:41"
"27-2081"," IO::InternalBuffer#fill_from crash when tab completing in ""xiki"" gem console",3,"2013-10-26 10:17:05"
"27-2078","Extend FFI::Platform::POSIX with faster native IO methods",0,"2013-10-24 21:39:36"
